user_id,book_id,hold_date,expiry_date
363,12,2024-01-17,2024-01-21
296,22,2024-10-13,2024-10-14
258,26,2024-11-03,2024-11-07
406,103,2024-01-16,2024-01-23
227,21,2024-05-04,2024-05-10
183,31,2024-06-18,2024-06-21
387,148,2024-10-07,2024-10-11
368,76,2024-04-27,2024-05-02
488,44,2024-02-03,2024-02-09
77,3,2024-10-14,2024-10-16
218,104,2024-08-07,2024-08-14
85,140,2024-10-03,2024-10-05
221,7,2024-02-27,2024-03-04
299,107,2024-09-18,2024-09-21
382,34,2024-11-03,2024-11-07
353,40,2024-09-24,2024-09-26
328,131,2024-01-13,2024-01-16
276,134,2024-11-01,2024-11-04
407,20,2024-01-22,2024-01-24
245,84,2024-07-20,2024-07-23
40,194,2024-06-08,2024-06-09
154,104,2024-05-25,2024-05-31
51,144,2024-06-11,2024-06-15
424,4,2024-05-29,2024-06-05
75,57,2024-08-01,2024-08-07
312,52,2024-09-20,2024-09-22
367,19,2024-08-26,2024-08-28
138,127,2024-09-21,2024-09-24
395,88,2024-08-11,2024-08-17
384,60,2024-01-07,2024-01-13
131,29,2024-01-27,2024-01-31
116,199,2024-08-10,2024-08-11
371,154,2024-07-21,2024-07-27
381,176,2024-08-26,2024-08-31
19,67,2024-09-15,2024-09-18
306,161,2024-10-09,2024-10-16
22,92,2024-10-18,2024-10-25
108,186,2024-10-08,2024-10-11
27,26,2024-02-12,2024-02-19
293,122,2024-07-28,2024-08-03
405,47,2024-02-25,2024-02-26
115,71,2024-10-18,2024-10-21
11,38,2024-05-24,2024-05-30
406,48,2024-10-10,2024-10-17
143,19,2024-09-04,2024-09-09
88,75,2024-09-05,2024-09-08
84,47,2024-06-29,2024-07-06
463,1,2024-06-26,2024-06-30
92,115,2024-05-05,2024-05-06
290,165,2024-07-10,2024-07-16
45,15,2024-06-21,2024-06-25
241,26,2024-09-18,2024-09-19
3,71,2024-10-17,2024-10-19
418,70,2024-01-28,2024-01-30
7,105,2024-06-24,2024-06-28
8,20,2024-09-09,2024-09-10
431,155,2024-07-05,2024-07-07
172,74,2024-04-23,2024-04-28
163,94,2024-02-16,2024-02-22
289,2,2024-10-15,2024-10-17
2,112,2024-02-23,2024-03-01
89,28,2024-06-02,2024-06-04
358,34,2024-01-08,2024-01-09
343,137,2024-10-01,2024-10-07
267,154,2024-02-26,2024-03-04
323,195,2024-05-24,2024-05-25
179,181,2024-01-26,2024-01-30
240,170,2024-03-08,2024-03-14
43,196,2024-05-02,2024-05-08
113,162,2024-06-06,2024-06-09
61,21,2024-11-01,2024-11-07
465,149,2024-02-08,2024-02-15
282,142,2024-01-17,2024-01-24
355,84,2024-07-09,2024-07-12
13,144,2024-03-21,2024-03-22
328,107,2024-01-14,2024-01-20
491,6,2024-09-05,2024-09-06
394,140,2024-03-09,2024-03-13
440,147,2024-03-01,2024-03-02
40,5,2024-06-04,2024-06-10
433,22,2024-06-09,2024-06-12
456,52,2024-01-19,2024-01-26
272,151,2024-05-17,2024-05-18
186,29,2024-07-21,2024-07-24
179,136,2024-03-22,2024-03-26
149,91,2024-03-14,2024-03-18
314,86,2024-04-11,2024-04-15
153,181,2024-07-04,2024-07-11
272,90,2024-02-05,2024-02-08
362,41,2024-07-18,2024-07-22
249,16,2024-03-14,2024-03-15
91,197,2024-07-06,2024-07-09
447,112,2024-10-28,2024-11-02
312,157,2024-09-01,2024-09-07
443,86,2024-09-12,2024-09-15
457,187,2024-01-31,2024-02-04
438,176,2024-11-09,2024-11-15
287,39,2024-02-21,2024-02-22
223,117,2024-01-12,2024-01-15
104,142,2024-10-08,2024-10-15
221,153,2024-07-04,2024-07-08
214,69,2024-06-21,2024-06-24
184,83,2024-09-07,2024-09-08
243,149,2024-07-28,2024-07-30
346,160,2024-11-04,2024-11-10
458,175,2024-06-30,2024-07-06
263,176,2024-07-04,2024-07-07
161,120,2024-10-19,2024-10-26
491,59,2024-02-09,2024-02-16
417,148,2024-01-10,2024-01-11
159,144,2024-06-26,2024-06-28
442,151,2024-10-18,2024-10-20
15,43,2024-03-11,2024-03-17
392,2,2024-06-27,2024-07-01
450,44,2024-08-30,2024-08-31
201,174,2024-08-16,2024-08-21
372,26,2024-06-21,2024-06-27
483,44,2024-07-07,2024-07-09
8,8,2024-03-06,2024-03-07
140,103,2024-01-01,2024-01-04
5,155,2024-01-17,2024-01-23
29,126,2024-09-10,2024-09-12
81,43,2024-06-14,2024-06-18
479,96,2024-01-12,2024-01-13
54,193,2024-08-10,2024-08-13
380,88,2024-06-01,2024-06-02
492,94,2024-10-21,2024-10-24
19,171,2024-01-25,2024-01-30
343,183,2024-08-10,2024-08-11
488,170,2024-04-18,2024-04-22
428,49,2024-05-30,2024-06-05
225,119,2024-04-15,2024-04-19
444,74,2024-10-23,2024-10-24
137,90,2024-04-18,2024-04-22
87,131,2024-04-13,2024-04-16
262,166,2024-08-27,2024-09-02
138,90,2024-08-18,2024-08-23
59,66,2024-07-30,2024-08-04
330,59,2024-09-05,2024-09-12
442,45,2024-03-01,2024-03-07
439,34,2024-04-06,2024-04-08
457,51,2024-08-29,2024-08-30
152,37,2024-09-26,2024-10-02
402,32,2024-10-03,2024-10-07
437,40,2024-07-20,2024-07-27
246,32,2024-08-15,2024-08-21
311,175,2024-01-09,2024-01-12
157,127,2024-06-14,2024-06-16
251,179,2024-03-05,2024-03-11
319,148,2024-06-19,2024-06-23
337,12,2024-10-19,2024-10-25
430,140,2024-03-04,2024-03-11
186,13,2024-04-03,2024-04-10
291,163,2024-03-28,2024-03-30
426,32,2024-06-22,2024-06-23
213,176,2024-02-12,2024-02-16
391,151,2024-08-13,2024-08-16
12,172,2024-09-02,2024-09-07
244,119,2024-10-25,2024-10-27
271,72,2024-11-09,2024-11-15
138,141,2024-09-17,2024-09-24
465,129,2024-02-05,2024-02-08
407,177,2024-07-01,2024-07-05
178,147,2024-07-02,2024-07-03
237,191,2024-06-03,2024-06-08
142,119,2024-04-03,2024-04-07
492,168,2024-09-20,2024-09-25
153,142,2024-02-24,2024-02-29
357,184,2024-05-07,2024-05-08
234,162,2024-02-05,2024-02-07
151,122,2024-07-27,2024-07-28
249,18,2024-07-08,2024-07-13
43,36,2024-07-08,2024-07-14
304,114,2024-08-25,2024-09-01
268,50,2024-01-28,2024-02-04
88,121,2024-10-08,2024-10-10
120,66,2024-03-23,2024-03-24
178,164,2024-05-08,2024-05-11
252,131,2024-06-12,2024-06-19
369,57,2024-02-19,2024-02-21
483,1,2024-09-08,2024-09-10
46,161,2024-09-13,2024-09-15
460,170,2024-07-22,2024-07-29
419,196,2024-01-03,2024-01-04
248,163,2024-01-11,2024-01-14
278,141,2024-03-25,2024-03-27
182,156,2024-07-18,2024-07-21
241,71,2024-07-02,2024-07-05
444,78,2024-07-07,2024-07-14
252,132,2024-11-07,2024-11-11
25,179,2024-03-20,2024-03-27
25,146,2024-03-21,2024-03-24
436,4,2024-08-28,2024-09-03
399,24,2024-09-07,2024-09-09
17,43,2024-09-13,2024-09-14
496,61,2024-11-06,2024-11-09
375,21,2024-10-23,2024-10-26
206,120,2024-03-19,2024-03-24
321,122,2024-01-05,2024-01-08
319,83,2024-07-03,2024-07-08
